Sample,location,Species
7186a,Kalumburu Western Australia,B. tryoni
7186b,Kalumburu Western Australia,B. tryoni
7186c,Kalumburu Western Australia,B. tryoni
7186d,Kalumburu Western Australia,B. tryoni
7186e,Kalumburu Western Australia,B. tryoni
7187a,Cobourg Peninsula Northern Territory,B. tryoni
7187b,Cobourg Peninsula Northern Territory,B. tryoni
7187c,Cobourg Peninsula Northern Territory,B. tryoni
7187d,Cobourg Peninsula Northern Territory,B. tryoni
7187e,Cobourg Peninsula Northern Territory,B. tryoni
3012e,Coen Queensland,B. tryoni
3012f,Coen Queensland,B. tryoni
3012g,Coen Queensland,B. tryoni
3012h,Coen Queensland,B. tryoni
3012i,Coen Queensland,B. tryoni
3005a,Mackay Queensland,B. tryoni
3005b,Mackay Queensland,B. tryoni
3005c,Mackay Queensland,B. tryoni
3005d,Mackay Queensland,B. tryoni
3005e,Mackay Queensland,B. tryoni
2993a,Brisbane Queensland,B. tryoni
2993b,Brisbane Queensland,B. tryoni
2993c,Brisbane Queensland,B. tryoni
2993d,Brisbane Queensland,B. tryoni
2993e,Brisbane Queensland,B. tryoni
530k,Sydney New South Wales,B. tryoni
530l,Sydney New South Wales,B. tryoni
530m,Sydney New South Wales,B. tryoni
530n,Sydney New South Wales,B. tryoni
530o,Sydney New South Wales,B. tryoni
6936a,Ellerslie Victoria,B. tryoni
6936b,Ellerslie Victoria,B. tryoni
6936c,Ellerslie Victoria,B. tryoni
6936d,Ellerslie Victoria,B. tryoni
6936e,Ellerslie Victoria,B. tryoni
1153f,Cootamundra New South Wales,B. tryoni
1153g,Cootamundra New South Wales,B. tryoni
1153h,Cootamundra New South Wales,B. tryoni
1153i,Cootamundra New South Wales,B. tryoni
1153j,Cootamundra New South Wales,B. tryoni
6998a,Barham New South Wales,B. tryoni
6998b,Barham New South Wales,B. tryoni
6998c,Barham New South Wales,B. tryoni
6998d,Barham New South Wales,B. tryoni
6998e,Barham New South Wales,B. tryoni
6986a,Boundary Bend Victoria,B. tryoni
6986b,Boundary Bend Victoria,B. tryoni
6986c,Boundary Bend Victoria,B. tryoni
6986d,Boundary Bend Victoria,B. tryoni
6986e,Boundary Bend Victoria,B. tryoni
554e,Marlo Victoria,B. tryoni
554f,Marlo Victoria,B. tryoni
554g,Marlo Victoria,B. tryoni
554h,Marlo Victoria,B. tryoni
554i,Marlo Victoria,B. tryoni
530p,Sydney New South Wales,B. tryoni
530q,Sydney New South Wales,B. tryoni
530r,Sydney New South Wales,B. tryoni
530s,Sydney New South Wales,B. tryoni
530t,Sydney New South Wales,B. tryoni
560f,Orbost Victoria,B. tryoni
560g,Orbost Victoria,B. tryoni
560h,Orbost Victoria,B. tryoni
560i,Orbost Victoria,B. tryoni
560j,Orbost Victoria,B. tryoni
1162c,Dubbo New South Wales,B. tryoni
1162d,Dubbo New South Wales,B. tryoni
1162e,Dubbo New South Wales,B. tryoni
1162f,Dubbo New South Wales,B. tryoni
1162g,Dubbo New South Wales,B. tryoni
2545b,Hillston New South Wales,B. tryoni
7906a,Dili,B. albistrigata
7907a,Christmas Island,B. albistrigata
2545e,Hillston New South Wales,B. tryoni
2545f,Hillston New South Wales,B. tryoni
2993a,Brisbane Queensland South East,B. tryoni
2993b,Brisbane Queensland South East,B. tryoni
2993c,Brisbane Queensland South East,B. tryoni
2993d,Brisbane Queensland South East,B. tryoni
2993e,Brisbane Queensland South East,B. tryoni
3001a,Bundaberg Queensland,B. tryoni
3001b,Bundaberg Queensland,B. tryoni
3001c,Bundaberg Queensland,B. tryoni
3001d,Bundaberg Queensland,B. tryoni
3001e,Bundaberg Queensland,B. tryoni
3003a,Gladstone Queensland,B. tryoni
3003b,Gladstone Queensland,B. tryoni
3003c,Gladstone Queensland,B. tryoni
3003d,Gladstone Queensland,B. tryoni
3003e,Gladstone Queensland,B. tryoni
3007a,Townsville Queensland,B. tryoni
3007b,Townsville Queensland,B. tryoni
3007c,Townsville Queensland,B. tryoni
3007d,Townsville Queensland,B. tryoni
3007e,Townsville Queensland,B. tryoni
3010a,Cairns Queensland,B. tryoni
3010b,Cairns Queensland,B. tryoni
3010c,Cairns Queensland,B. tryoni
3010d,Cairns Queensland,B. tryoni
3010e,Cairns Queensland,B. tryoni
3013a,Coen Queensland,B. tryoni
3013b,Coen Queensland,B. tryoni
3013c,Coen Queensland,B. tryoni
3013d,Coen Queensland,B. tryoni
3013e,Coen Queensland,B. tryoni
7187f,Cobourg Peninsula Northern Territory,B. tryoni
7187g,Cobourg Peninsula Northern Territory,B. tryoni
7187h,Cobourg Peninsula Northern Territory,B. tryoni
7187i,Cobourg Peninsula Northern Territory,B. tryoni
7187j,Cobourg Peninsula Northern Territory,B. tryoni
7908a,Selangor,B. albistrigata
7352b,Kalumburu Western Australia,B. tryoni
7352c,Kalumburu Western Australia,B. tryoni
7352d,Kalumburu Western Australia,B. tryoni
7352e,Kalumburu Western Australia,B. tryoni
7188c,Weipa Queensland,B. neohumeralis
7188d,Weipa Queensland,B. neohumeralis
7188e,Weipa Queensland,B. neohumeralis
7188f,Warraber Island,B. neohumeralis
7188g,Warraber Island,B. neohumeralis
7188h,Warraber Island,B. neohumeralis
7188i,Warraber Island,B. neohumeralis
7188j,Warraber Island,B. neohumeralis
7188k,Warraber Island,B. neohumeralis
7189c,Roma Flats Queensland,B. manskii
7189d,Roma Flats Queensland,B. manskii
7189e,Roma Flats Queensland,B. manskii
7172c,Iama Island,B. bancroftii
7172d,Iama Island,B. bancroftii
7172e,Iama Island,B. bancroftii
7173c,Mapoon Queensland,B. bryoniae
7173d,Mapoon Queensland,B. bryoniae
7173e,Mapoon Queensland,B. bryoniae
7174c,Bamaga Queensland,B. endiandrae
7174d,Bamaga Queensland,B. endiandrae
7174e,Bamaga Queensland,B. endiandrae
7175c,Roma Flats Queensland,B. erubescentis
7175d,Roma Flats Queensland,B. erubescentis
7175e,Roma Flats Queensland,B. erubescentis
7176c,Weipa Queensland,B. frauenfeldi
7176d,Weipa Queensland,B. frauenfeldi
7176e,Weipa Queensland,B. frauenfeldi
7177c,Nagir Islet,B. musae
7177d,Nagir Islet,B. musae
7177e,Nagir Islet,B. musae
a,AgriBio Bundoora,B. tryoni
b,AgriBio Bundoora,B. tryoni
c,AgriBio Bundoora,B. tryoni
d,AgriBio Bundoora,B. tryoni
e,AgriBio Bundoora,B. tryoni
f,AgriBio Bundoora,B. tryoni
1037b,Bairnsdale Victoria,B. tryoni
1111a,Bairnsdale Victoria,B. tryoni
1111b,Bairnsdale Victoria,B. tryoni
1111c,Bairnsdale Victoria,B. tryoni
1111d,Bairnsdale Victoria,B. tryoni
1111e,Bairnsdale Victoria,B. tryoni
1112a,Bairnsdale Victoria,B. tryoni
1115a,Bairnsdale Victoria,B. tryoni
1119a,Bairnsdale Victoria,B. tryoni
1263a,Bairnsdale Victoria,B. tryoni
874b,Bairnsdale Victoria,B. tryoni
916a,Bairnsdale Victoria,B. tryoni
917a,Bairnsdale Victoria,B. tryoni
1061a,Eagle Point Victoria,B. tryoni
1116a,Eagle Point Victoria,B. tryoni
1118a,Eagle Point Victoria,B. tryoni
1334a,Eagle Point Victoria,B. tryoni
1335a,Eagle Point Victoria,B. tryoni
1336a,Eagle Point Victoria,B. tryoni
1337a,Eagle Point Victoria,B. tryoni
1352a,Eagle Point Victoria,B. tryoni
942a,Eagle Point Victoria,B. tryoni
563a,Lakes Entrance Victoria,B. tryoni
564b,Lakes Entrance Victoria,B. tryoni
564c,Lakes Entrance Victoria,B. tryoni
564d,Lakes Entrance Victoria,B. tryoni
565a,Lakes Entrance Victoria,B. tryoni
565b,Lakes Entrance Victoria,B. tryoni
554a,Marlo Victoria,B. tryoni
554b,Marlo Victoria,B. tryoni
554c,Marlo Victoria,B. tryoni
554d,Marlo Victoria,B. tryoni
555a,Marlo Victoria,B. tryoni
556a,Marlo Victoria,B. tryoni
557a,Marlo Victoria,B. tryoni
557b,Marlo Victoria,B. tryoni
557c,Marlo Victoria,B. tryoni
557d,Marlo Victoria,B. tryoni
557e,Marlo Victoria,B. tryoni
557f,Marlo Victoria,B. tryoni
558a,Orbost Victoria,B. tryoni
559a,Orbost Victoria,B. tryoni
560a,Orbost Victoria,B. tryoni
560b,Orbost Victoria,B. tryoni
560c,Orbost Victoria,B. tryoni
560d,Orbost Victoria,B. tryoni
560e,Orbost Victoria,B. tryoni
561a,Orbost Victoria,B. tryoni
561b,Orbost Victoria,B. tryoni
561c,Orbost Victoria,B. tryoni
1035a,Sale Victoria,B. tryoni
1035d,Sale Victoria,B. tryoni
1059b,Sale Victoria,B. tryoni
1059c,Sale Victoria,B. tryoni
1059d,Sale Victoria,B. tryoni
1340a,Sale Victoria,B. tryoni
1343a,Sale Victoria,B. tryoni
1344a,Sale Victoria,B. tryoni
1345a,Sale Victoria,B. tryoni
871a,Sale Victoria,B. tryoni
872a,Sale Victoria,B. tryoni
1295d,Tambo Upper Victoria,B. tryoni
1264a,Tambo Upper Victoria,B. tryoni
1342a,Tambo Upper Victoria,B. tryoni
1342b,Tambo Upper Victoria,B. tryoni
1342c,Tambo Upper Victoria,B. tryoni
1342d,Tambo Upper Victoria,B. tryoni
956a,Tambo Upper Victoria,B. tryoni
957a,Tambo Upper Victoria,B. tryoni
7237a,Hakatao French Polynesia,B. tryoni
7237b,Hakatao French Polynesia,B. tryoni
7237c,Hakatao French Polynesia,B. tryoni
7237d,Hakatao French Polynesia,B. tryoni
7237e,Hakatao French Polynesia,B. tryoni
7237f,Hakatao French Polynesia,B. tryoni
7237g,Hakatao French Polynesia,B. tryoni
7237h,Hakatao French Polynesia,B. tryoni
7237i,Hakatao French Polynesia,B. tryoni
7237j,Hakatao French Polynesia,B. tryoni
8022a,Darwin Northern Territory,B. tryoni
8022b,Darwin Northern Territory,B. tryoni
8022c,Darwin Northern Territory,B. tryoni
8022d,Darwin Northern Territory,B. tryoni
8022e,Darwin Northern Territory,B. tryoni
8022f,Darwin Northern Territory,B. tryoni
8022g,Darwin Northern Territory,B. tryoni
8023a,Alice Springs Northern Territory,B. tryoni
8023b,Alice Springs Northern Territory,B. tryoni
8023c,Alice Springs Northern Territory,B. tryoni
8023d,Alice Springs Northern Territory,B. tryoni
8023e,Alice Springs Northern Territory,B. tryoni
8023f,Alice Springs Northern Territory,B. tryoni
8023g,Alice Springs Northern Territory,B. tryoni
8023h,Alice Springs Northern Territory,B. tryoni
8023i,Alice Springs Northern Territory,B. tryoni
8023j,Alice Springs Northern Territory,B. tryoni
8023l,Alice Springs Northern Territory,B. tryoni
8023m,Alice Springs Northern Territory,B. tryoni
8023n,Alice Springs Northern Territory,B. tryoni
8023o,Alice Springs Northern Territory,B. tryoni
8434a,New Caledonia,B. tryoni
8434b,New Caledonia,B. tryoni
8434c,New Caledonia,B. tryoni
8434d,New Caledonia,B. tryoni
8433a,Tahiti,B. tryoni
8433b,Tahiti,B. tryoni
8433c,Tahiti,B. tryoni
8433d,Tahiti,B. tryoni
